action,x,y,timestamp,extra1,extra2
move,1006,775,1725102742.9675786,,
move,980,788,1725102742.9793959,,
move,955,799,1725102742.9864738,,
move,929,810,1725102742.9920475,,
move,910,819,1725102742.9986975,,
move,894,828,1725102743.0069573,,
move,877,839,1725102743.007968,,
move,855,849,1725102743.0181944,,
move,838,860,1725102743.027629,,
move,824,868,1725102743.0303416,,
move,813,875,1725102743.037949,,
move,806,880,1725102743.0479739,,
move,802,882,1725102743.0488546,,
move,799,884,1725102743.0622032,,
move,798,885,1725102743.0685446,,
move,797,885,1725102743.0724685,,
move,797,885,1725102743.080838,,
move,797,885,1725102743.1083727,,
move,797,885,1725102743.1128936,,
move,801,884,1725102743.1179323,,
move,812,880,1725102743.128348,,
move,841,869,1725102743.136994,,
move,892,858,1725102743.1425443,,
move,945,846,1725102743.1508417,,
move,981,840,1725102743.1578188,,
move,998,838,1725102743.160781,,
move,1010,835,1725102743.1687353,,
move,1014,834,1725102743.1777997,,
move,1016,833,1725102743.182808,,
move,1018,833,1725102743.190923,,
move,1019,833,1725102743.1989686,,
move,1019,832,1725102743.2100277,,
move,1019,832,1725102743.2278335,,
move,1019,832,1725102743.2471833,,
move,1016,832,1725102743.2497494,,
move,995,843,1725102743.2586832,,
move,899,887,1725102743.2669575,,
move,807,922,1725102743.2708092,,
move,738,948,1725102743.2781703,,
move,661,971,1725102743.2878,,
move,597,986,1725102743.2932262,,
move,527,1001,1725102743.2991676,,
move,464,1010,1725102743.3087687,,
move,409,1015,1725102743.3157132,,
move,348,1015,1725102743.3209941,,
move,299,1009,1725102743.3276696,,
move,252,998,1725102743.3337083,,
move,201,982,1725102743.3402185,,
move,161,962,1725102743.347862,,
move,132,933,1725102743.3566866,,
move,108,899,1725102743.3617408,,
move,89,863,1725102743.3682456,,
move,73,818,1725102743.3769722,,
move,63,774,1725102743.3817818,,
move,60,729,1725102743.3886008,,
move,64,684,1725102743.3978307,,
move,71,632,1725102743.402751,,
move,84,584,1725102743.4098177,,
move,97,543,1725102743.418352,,
move,114,504,1725102743.4244714,,
move,134,468,1725102743.4285939,,
move,162,433,1725102743.4376712,,
move,195,400,1725102743.4447162,,
move,227,370,1725102743.45232,,
move,262,344,1725102743.458177,,
move,305,319,1725102743.465097,,
move,347,301,1725102743.472974,,
move,414,275,1725102743.4900975,,
move,446,271,1725102743.4947329,,
move,473,271,1725102743.5005202,,
move,490,273,1725102743.5076175,,
move,505,277,1725102743.5139794,,
move,519,283,1725102743.5213094,,
move,535,291,1725102743.5293388,,
move,547,300,1725102743.537767,,
move,557,308,1725102743.5412564,,
move,563,317,1725102743.5486429,,
move,568,327,1725102743.555367,,
move,574,338,1725102743.5621166,,
move,576,350,1725102743.5690525,,
move,578,362,1725102743.5760078,,
move,578,378,1725102743.582958,,
move,577,399,1725102743.590105,,
move,574,425,1725102743.5970275,,
move,564,459,1725102743.6019537,,
move,545,507,1725102743.607932,,
move,525,550,1725102743.6167524,,
move,500,596,1725102743.6239421,,
move,480,635,1725102743.6295733,,
move,458,672,1725102743.6369588,,
move,433,707,1725102743.6413999,,
move,399,742,1725102743.6512246,,
move,369,775,1725102743.657703,,
move,340,799,1725102743.659502,,
move,316,816,1725102743.6682808,,
move,294,826,1725102743.6778457,,
move,274,831,1725102743.68321,,
move,256,832,1725102743.6886346,,
move,241,830,1725102743.6976137,,
move,228,825,1725102743.7033541,,
move,219,818,1725102743.7085075,,
move,208,809,1725102743.7176285,,
move,196,790,1725102743.7332366,,
move,184,762,1725102743.7343783,,
move,177,731,1725102743.7376974,,
move,175,693,1725102743.7468112,,
move,178,638,1725102743.7511222,,
move,195,587,1725102743.7595987,,
move,213,535,1725102743.7685997,,
move,234,487,1725102743.7725966,,
move,261,446,1725102743.7795305,,
move,298,410,1725102743.7884138,,
move,339,377,1725102743.7884138,,
move,380,345,1725102743.8015144,,
move,433,319,1725102743.8083508,,
move,486,292,1725102743.8083508,,
move,532,272,1725102743.8219924,,
move,583,253,1725102743.829012,,
move,630,244,1725102743.8345757,,
move,662,239,1725102743.8382642,,
move,690,239,1725102743.8480098,,
move,723,243,1725102743.8576539,,
move,747,250,1725102743.8629155,,
move,763,259,1725102743.870163,,
move,775,270,1725102743.8776765,,
move,785,281,1725102743.8783689,,
move,793,294,1725102743.888012,,
move,799,307,1725102743.8979585,,
move,804,321,1725102743.9047027,,
move,808,333,1725102743.91196,,
move,811,344,1725102743.9187043,,
move,812,354,1725102743.9255805,,
move,812,362,1725102743.9318368,,
move,811,371,1725102743.9389393,,
move,809,378,1725102743.94619,,
move,808,383,1725102743.9521892,,
move,807,387,1725102743.9599128,,
move,806,390,1725102743.9655554,,
move,806,391,1725102743.9735816,,
move,806,392,1725102743.9790397,,
move,806,393,1725102743.987381,,
move,806,394,1725102743.9941015,,
move,806,395,1725102744.0005436,,
move,811,399,1725102744.0076535,,
move,825,408,1725102744.0129452,,
move,848,421,1725102744.0210624,,
move,900,440,1725102744.0286613,,
move,951,456,1725102744.0286613,,
move,993,463,1725102744.0426512,,
move,1034,463,1725102744.0491395,,
move,1077,457,1725102744.0556412,,
move,1117,447,1725102744.0625033,,
move,1162,431,1725102744.0695739,,
move,1210,413,1725102744.07052,,
move,1250,390,1725102744.0822449,,
move,1322,365,1725102744.0883613,,
move,1371,339,1725102744.097113,,
move,1399,317,1725102744.1032715,,
move,1411,302,1725102744.110107,,
move,1417,290,1725102744.1183488,,
move,1419,283,1725102744.1252086,,
move,1419,279,1725102744.1281612,,
move,1416,274,1725102744.137784,,
move,1405,265,1725102744.1447856,,
move,1364,246,1725102744.1518354,,
move,1324,221,1725102744.1587048,,
move,1281,196,1725102744.165586,,
move,1235,173,1725102744.1725056,,
move,1198,151,1725102744.17827,,
move,1155,126,1725102744.1825824,,
move,1105,98,1725102744.1879117,,
move,1058,72,1725102744.2002993,,
move,1006,51,1725102744.2067842,,
move,945,31,1725102744.212137,,
move,892,20,1725102744.2185624,,
move,816,12,1725102744.2276363,,
move,741,16,1725102744.2319715,,
move,662,24,1725102744.2391872,,
move,585,42,1725102744.2468188,,
move,504,60,1725102744.2521024,,
move,436,88,1725102744.258219,,
move,364,116,1725102744.2679248,,
move,304,143,1725102744.2730093,,
move,251,172,1725102744.2788703,,
